category,status,mls_number,price,listing_class,property_type,address,city,zip,area,bedrooms,full_baths,half_baths,hoa_monthly
withdrawn,WITHDRAWN,2528764,"$299,000",RESIDENTIAL,Detached,2715 Biscane Ct.,Conway,29527,21D Conway central between 501& 9th Ave / south of 501,3,2,0,$11
withdrawn,WITHDRAWN,2306459,"$299,000",LAND,Residential Lot,TBD Poplar Dr. S,Surfside Beach,29575,29B Surfside Beach--East of 17 and south of Surfside Drive,,,,
withdrawn,WITHDRAWN,2605097,"$299,900",CONDO/TOWNHOUSE,Townhouse,610 15th Ave. S,Surfside Beach,29575,29B Surfside Beach--East of 17 and south of Surfside Drive,2,1,1,$170
withdrawn,WITHDRAWN,2601162,"$299,900",CONDO/TOWNHOUSE,Townhouse,487 Waterend Dr.,Little River,29566,04A Little River Area--South of Hwy 9,3,2,1,$297
withdrawn,WITHDRAWN,2527596,"$299,990",CONDO/TOWNHOUSE,Townhouse,1216 Pleasant View Dr,North Myrtle Beach,29582,11A North Myrtle Beach Area--Cherry Grove,3,2,1,$415
withdrawn,WITHDRAWN,2520690,"$300,000",RESIDENTIAL,Detached,208 Sherwood Dr.,Conway,29526,21C Conway central between Long Ave & 905 / north of 501,4,2,0,$0
withdrawn,WITHDRAWN,2508715,"$300,000",LAND,Commercial Lot - Sale,Lot 48 30th Ave. S,Atlantic Beach,29582,11D North Myrtle Beach Area--Atlantic Beach,,,,
withdrawn,WITHDRAWN,2527595,"$301,990",CONDO/TOWNHOUSE,Townhouse,1218 Pleasant View Dr,North Myrtle Beach,29582,11A North Myrtle Beach Area--Cherry Grove,3,2,1,$415
withdrawn,WITHDRAWN,2527597,"$301,990",CONDO/TOWNHOUSE,Townhouse,1214 Pleasant View Dr,North Myrtle Beach,29582,11A North Myrtle Beach Area--Cherry Grove,3,2,1,$415
withdrawn,WITHDRAWN,2524072,"$306,380",CONDO/TOWNHOUSE,Townhouse,529 Ryegrass Way,Murrells Inlet,29576,27B Murrells Inlet - Horry County,3,2,1,$175
withdrawn,WITHDRAWN,2523688,"$308,000",CONDO/TOWNHOUSE,Townhouse,307 N Sandridgebury Dr.,Little River,29566,04A Little River Area--South of Hwy 9,3,2,1,$292
withdrawn,WITHDRAWN,2604067,"$308,000",CONDO/TOWNHOUSE,Condo,7600 N Ocean Blvd.,Myrtle Beach,29572,16D Myrtle Beach Area--48th Ave N to 79th Ave N,2,2,0,$388
withdrawn,WITHDRAWN,2524894,"$312,500",RESIDENTIAL,Manufactured Leased Land,454 Sanddollar Dr.,Surfside Beach,29575,27A Garden City Mainland & Pennisula,3,2,0,$376
withdrawn,WITHDRAWN,2529654,"$312,840",COMMERCIAL/INDUSTRIAL,Special Use,TBD Lot 3 Daphane Dr.,Loris,29569,09B Conway to Longs Area--Between Rt. 905 & Waccamaw River,,,,
withdrawn,WITHDRAWN,2522268,"$315,000",CONDO/TOWNHOUSE,Condo,4601 N Ocean Blvd.,North Myrtle Beach,29582,11A North Myrtle Beach Area--Cherry Grove,2,2,0,$775
withdrawn,WITHDRAWN,2512912,"$315,000",RESIDENTIAL,Manufactured Leased Land,505 Sandpebble Dr.,Surfside Beach,29575,27A Garden City Mainland & Pennisula,2,2,0,$376
withdrawn,WITHDRAWN,2517706,"$315,000",RESIDENTIAL,Detached,413 Cotton Grass Dr.,Loris,29569,07A Loris to Longs Area--South of 9 between Loris & Longs,4,2,1,$45
withdrawn,WITHDRAWN,2606126,"$318,760",CONDO/TOWNHOUSE,Townhouse,8903 Brynlee Rd.,Longs,29568,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,3,2,1,$392
withdrawn,WITHDRAWN,2524287,"$319,000",RESIDENTIAL,Manufactured Leased Land,404 Twin Lakes Point,Surfside Beach,29575,27A Garden City Mainland & Pennisula,2,2,0,$364
withdrawn,WITHDRAWN,2526242,"$319,000",CONDO/TOWNHOUSE,Townhouse,231 JE Edward Dr.,Myrtle Beach,29588,26A Myrtle Beach Area--south of 544 & west of 17 bypass M.I. Horry County,3,3,0,$425
withdrawn,WITHDRAWN,2605835,"$319,500",RESIDENTIAL,Detached,800 Wilcot Branch Ct.,Conway,29526,23A Conway Area--South of Conway between 501 & Wacc. River,3,2,0,$69
withdrawn,WITHDRAWN,2526069,"$323,375",RESIDENTIAL,Detached,1156 Oak Meadow Dr.,Conway,29526,23A Conway Area--South of Conway between 501 & Wacc. River,4,2,1,$130
withdrawn,WITHDRAWN,2527594,"$324,990",CONDO/TOWNHOUSE,Townhouse,1220 Pleasant View Dr,North Myrtle Beach,29582,11A North Myrtle Beach Area--Cherry Grove,3,2,1,$415
withdrawn,WITHDRAWN,2527598,"$324,990",CONDO/TOWNHOUSE,Townhouse,1212 Pleasant View Dr,North Myrtle Beach,29582,11A North Myrtle Beach Area--Cherry Grove,3,2,1,$415
withdrawn,WITHDRAWN,2603362,"$324,999",RESIDENTIAL,Detached,6627 Cherry Laurel Dr.,Myrtle Beach,29588,26A Myrtle Beach Area--south of 544 & west of 17 bypass M.I. Horry County,3,2,0,$95
withdrawn,WITHDRAWN,2606624,"$325,000",CONDO/TOWNHOUSE,Condo,201 Hillside Dr. N,North Myrtle Beach,29582,11B North Myrtle Beach Area--Ocean Drive,2,2,0,$721
withdrawn,WITHDRAWN,2600097,"$325,000",RESIDENTIAL,Detached,2632 Scarecrow Way,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,3,2,1,$107
withdrawn,WITHDRAWN,2526769,"$325,900",CONDO/TOWNHOUSE,Townhouse,1000 11th Ave. N,North Myrtle Beach,29582,11B North Myrtle Beach Area--Ocean Drive,3,3,1,$570
withdrawn,WITHDRAWN,2510502,"$328,500",RESIDENTIAL,Detached,155 Marsh Deer Place,Surfside Beach,29575,28A Surfside Area--Surfside Triangle 544 to Glenns Bay,3,2,0,$167
withdrawn,WITHDRAWN,2528183,"$329,900",RESIDENTIAL,Manufactured with Land,1508 Sunnydale Ln.,Murrells Inlet,29576,27A Garden City Mainland & Pennisula,3,2,0,$0
withdrawn,WITHDRAWN,2602669,"$330,000",RESIDENTIAL,Detached,520 Dundalk Dr.,Conway,29526,08A Loris to Conway Area--South of Loris above Rt 22,3,2,0,$33
withdrawn,WITHDRAWN,2525649,"$332,000",CONDO/TOWNHOUSE,Condo,7600 N Ocean Blvd.,Myrtle Beach,29572,16D Myrtle Beach Area--48th Ave N to 79th Ave N,2,2,0,$388
withdrawn,WITHDRAWN,2523293,"$333,965",CONDO/TOWNHOUSE,Townhouse,8905 Hudson Ln.,Longs,29568,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,3,2,1,$392
withdrawn,WITHDRAWN,2607049,"$334,900",RESIDENTIAL,Detached,3234 Volterra Way,Myrtle Beach,29579,10B Myrtle Beach Area--Carolina Forest,4,3,0,$396
withdrawn,WITHDRAWN,2525950,"$335,000",CONDO/TOWNHOUSE,Condo,1001 Ray Costin Way,Murrells Inlet,29576,28B Surfside Area-Glensbay to GC Connector,3,2,0,$718
withdrawn,WITHDRAWN,2602543,"$339,999",RESIDENTIAL,Detached,482 Shellbank Dr.,Longs,29568,03A Longs to Little River Area--North of 9 between Waccamaw River & Rt. 57,3,2,0,$90
withdrawn,WITHDRAWN,2602130,"$340,000",RESIDENTIAL,Detached,172 Seasons Trace Loop,Longs,29568,09B Conway to Longs Area--Between Rt. 905 & Waccamaw River,4,2,0,$96
withdrawn,WITHDRAWN,2529669,"$348,000",RESIDENTIAL,Detached,519 Harvest Ridge Way,Conway,29527,22A Conway Area--Southwest side of Conway between 378 and 701,4,2,1,$60
withdrawn,WITHDRAWN,2602689,"$348,000",CONDO/TOWNHOUSE,Condo,601 N Hillside Dr. N,North Myrtle Beach,29582,11B North Myrtle Beach Area--Ocean Drive,3,2,0,$475
withdrawn,WITHDRAWN,2527357,"$349,000",RESIDENTIAL,Detached,Lot 121 Sea Breeze Way,Longs,29568,09A Conway to Longs Area--Between Rt. 90 & Waccamaw River,3,2,0,$108
withdrawn,WITHDRAWN,2601664,"$349,000",RESIDENTIAL,Detached,1838 Castlebay Dr.,Conway,29526,21C Conway central between Long Ave & 905 / north of 501,4,2,0,$52
withdrawn,WITHDRAWN,2602357,"$349,000",RESIDENTIAL,Detached,505 Night Heron Ct.,Murrells Inlet,29576,28B Surfside Area-Glensbay to GC Connector,2,2,0,$45
withdrawn,WITHDRAWN,2521215,"$349,000",RESIDENTIAL,Semi-Detached,617 Surfside Dr.,Surfside Beach,29575,29A Surfside Beach--East of 17 & north of Surfside Drive,2,2,1,$0
withdrawn,WITHDRAWN,2519489,"$349,900",RESIDENTIAL,Detached with HPR,459 Honeyhill Loop,Conway,29526,15B Conway Area--East edge of Conway north of Old Reaves Ferry Rd.,3,2,0,$66
withdrawn,WITHDRAWN,2602102,"$349,990",LAND,Acreage,4950 Assembly Ln.,Myrtle Beach,29588,19A Myrtle Beach Area--Socastee,,,,
withdrawn,WITHDRAWN,2606329,"$355,000",RESIDENTIAL,Detached,3725 Bells Lake Circle,Longs,29568,10A Conway to Myrtle Beach Area--between 90 & waterway Redhill/Grande Dunes,4,2,0,$98
withdrawn,WITHDRAWN,2516861,"$360,000",RESIDENTIAL,Detached,608 Carter Reid Ct.,Longs,29568,09B Conway to Longs Area--Between Rt. 905 & Waccamaw River,3,2,0,$68
withdrawn,WITHDRAWN,2601678,"$360,000",RESIDENTIAL,Detached,272 Camrose Way,Myrtle Beach,29588,24A Myrtle Beach Area--south of 501 between West Ferry & Burcale,3,2,0,$63
withdrawn,WITHDRAWN,2519129,"$360,000",RESIDENTIAL,Detached,543 Meadowgrass Ct.,Myrtle Beach,29588,26B Myrtle Beach Area--north of Bay Rd between Wacc. River & 707,4,2,1,$60
withdrawn,WITHDRAWN,2602954,"$365,000",RESIDENTIAL,Detached,219 Pin Oak Dr.,Murrells Inlet,29576,27B Murrells Inlet - Horry County,3,2,0,$89
withdrawn,WITHDRAWN,2600317,"$369,000",RESIDENTIAL,Detached,4201 Rockwood Dr.,Conway,29526,21A Conway central between 501 & 701 / north of 501,3,2,0,$32
withdrawn,WITHDRAWN,2524230,"$369,600",RESIDENTIAL,Detached,523 Drake Ln.,Surfside Beach,29575,28B Surfside Area-Glensbay to GC Connector,4,3,0,$30
withdrawn,WITHDRAWN,2527951,"$369,900",RESIDENTIAL,Detached,1226 Sennema Circle,Myrtle Beach,29588,26A Myrtle Beach Area--south of 544 & west of 17 bypass M.I. Horry County,5,3,1,$80
withdrawn,WITHDRAWN,2526987,"$370,000",RESIDENTIAL,Detached,216 Pin Oak Dr.,Murrells Inlet,29576,27B Murrells Inlet - Horry County,4,2,1,$89
withdrawn,WITHDRAWN,2604614,"$375,000",RESIDENTIAL,Detached,9 Pioneer Ln.,Myrtle Beach,29577,16E Myrtle Beach Area--29th Ave N to 48th Ave N,3,2,0,$0
withdrawn,WITHDRAWN,2527342,"$379,900",CONDO/TOWNHOUSE,Townhouse,136 Parmelee Dr.,Murrells Inlet,29576,26A Myrtle Beach Area--south of 544 & west of 17 bypass M.I. Horry County,3,3,0,$165
withdrawn,WITHDRAWN,2607375,"$379,999",CONDO/TOWNHOUSE,Condo,684 Misty Hammock Dr.,Murrells Inlet,29576,26A Myrtle Beach Area--south of 544 & west of 17 bypass M.I. Horry County,3,2,0,$385
withdrawn,WITHDRAWN,2529300,"$380,000",RESIDENTIAL,Detached,276 Sundew Loop,Little River,29566,04B Little River Area--North of Hwy 9,3,2,1,$173
withdrawn,WITHDRAWN,2605397,"$385,000",RESIDENTIAL,Detached,705 Wailea Circle,Little River,29566,04B Little River Area--North of Hwy 9,3,2,0,$116
withdrawn,WITHDRAWN,2519873,"$389,000",CONDO/TOWNHOUSE,Condo,5137 Highway 17 Business,Murrells Inlet,29576,40A Murrells Inlet - Georgetown County,3,2,1,$697
