category,mls_number,price,property_type,address,city,zip,bedrooms,full_baths,half_baths,hoa_monthly
expired,2515639,"$3,335",Industrial,5321 Highway 90,Conway,29526,,,,
expired,2524089,"$189,900",Manufactured Leased Land,4385 Erie Dr.,Little River,29566,3,2,0,$0
expired,2523997,"$375,000",Townhouse,121 Gully Branch Ln.,Myrtle Beach,29572,3,2,1,$510
expired,2526174,"$399,999",Detached,3035 Honey Clover Ct.,Longs,29568,3,3,0,$94
expired,2524090,"$949,000",Condo,9547 Edgerton Dr.,Myrtle Beach,29572,3,3,1,"$1,805"
withdrawn,2606967,"$1,000",Retail,1405 Mr. Joe White Ave.,Myrtle Beach,29577,,,,
withdrawn,2600915,"$83,000",Manufactured Leased Land,876 Old Magnolia Dr.,Conway,29526,3,2,0,$0
withdrawn,2528520,"$139,900",Condo,1906 S Ocean Blvd.,Myrtle Beach,29577,Efficiency,1,0,$712
withdrawn,2602073,"$199,000",Condo,629 Waterway Village Blvd,Myrtle Beach,29579,2,2,0,$408
withdrawn,2527318,"$250,000",Detached,2902 Silver Leaf Circle,Loris,29569,3,2,0,$0
withdrawn,2516594,"$279,000",Detached Leased Land,6001 - 5723 Kings Hwy.,Myrtle Beach,29575,3,2,0,$0
withdrawn,2502684,"$299,900",Detached,112 Staton Ln.,Longs,29568,3,3,0,$60
withdrawn,2529420,"$324,900",Detached,1209 Wehler Ct.,Conway,29526,4,3,0,$75
withdrawn,2525605,"$337,900",Detached,2033 Chadbury Ln.,Myrtle Beach,29588,4,2,1,$42
withdrawn,2511688,"$354,900",Condo,1311 S Ocean Blvd.,North Myrtle Beach,29582,2,2,0,"$1,024"
withdrawn,2600302,"$374,900",Condo,1425 S Ocean Blvd.,North Myrtle Beach,29582,3,2,0,$973
withdrawn,2605772,"$375,000",Detached,834 Riverward Dr.,Myrtle Beach,29588,3,2,0,$185
withdrawn,2518654,"$452,000",Detached,285 Camrose Way,Myrtle Beach,29588,3,2,0,$63
withdrawn,2602199,"$619,900",Detached,4558 Lady Slipper Dr.,Myrtle Beach,29579,4,3,0,$150
withdrawn,2603288,"$657,757",Detached,2048 Woodrush Loop,Little River,29566,4,2,0,$135
withdrawn,2530155,"$699,900",Detached with HPR,2302 Seaseeker Ln.,Myrtle Beach,29577,4,3,1,$270
withdrawn,2520701,"$6,549,000",Detached,4304 N Ocean Blvd.,Myrtle Beach,29577,6,6,2,$0
