Address,Area,City,Class,Keyword1,Keyword2,Keyword3,StatusID,SystemPrice,Type,Zip,_DisplayId,_ID,display_id,int2_3,Category
505 N Hazard St.,46A Georgetown Area--includes city of Georgetown,Georgetown,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,199,Commercial - Do Not Use,29440,723386,723386:0,723386,,WITHDRAWN
813 Lakeside Dr.,47A Georgetown Area--Maryville/south of Gtown & east of 17,Georgetown,RENTAL,0,0,0,WITHDRAWN,200,Residential Lot,29440,1923659,1923659:0,1923659,,WITHDRAWN
270 Crescent Dr.,47A Georgetown Area--Maryville/south of Gtown & east of 17,Georgetown,LAND,,,,WITHDRAWN,225,Boat Slip - Lease,29440,2400792,2400792:0,2400792,,WITHDRAWN
4396 Baldwin Ave.,04B Little River Area--North of Hwy 9,Little River,LAND,,,,WITHDRAWN,240,Boat Slip - Sale,29566,1201199,1201199:0,1201199,,WITHDRAWN
1032 Highway 9 Business E,02A Loris Area--central includes city of Loris,Loris,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,250,Office,29569,2000989,2000989:0,2000989,,WITHDRAWN
4673 Dick Pond Rd.,26B Myrtle Beach Area--north of Bay Rd between Wacc. River & 707,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,250,Retail,29588,1607121,1607121:0,1607121,,WITHDRAWN
4673 Dick Pond Rd.,26B Myrtle Beach Area--north of Bay Rd between Wacc. River & 707,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,250,Retail,29588,1607120,1607120:0,1607120,,WITHDRAWN
1500 Highway 17 Business,28A Surfside Area--Surfside Triangle 544 to Glenns Bay,Surfside Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,250,Office,29575,2005355,2005355:0,2005355,,WITHDRAWN
Slip 97 Friendfield Marina,47A Georgetown Area--Maryville/south of Gtown & east of 17,Georgetown,LAND,,,,WITHDRAWN,250,Boat Slip - Lease,29440,2517304,2517304:0,2517304,,WITHDRAWN
Spa Dr.,04B Little River Area--North of Hwy 9,Little River,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,250,Office,29566,2222150,2222150:0,2222150,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,295,Office,29577,1808867,1808867:0,1808867,,WITHDRAWN
1032 E Highway 9 Business E,02A Loris Area--central includes city of Loris,Loris,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,300,Office,29569,1815311,1815311:0,1815311,,WITHDRAWN
1119 Third Ave.,21E Conway central--East edge of Conway / north & south of 501,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,300,Office,29526,1404279,1404279:0,1404279,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,300,Office,29577,1714586,1714586:0,1714586,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,300,Office,29577,1904692,1904692:0,1904692,,WITHDRAWN
5187 Horry Dr.,40A Murrells Inlet - Georgetown County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,300,Office,29576,1502884,1502884:0,1502884,,WITHDRAWN
Slip 18 Friendfield Marina,47A Georgetown Area--Maryville/south of Gtown & east of 17,Georgetown,LAND,,,,WITHDRAWN,300,Boat Slip - Lease,29440,2525695,2525695:0,2525695,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,300,Office,29577,2011155,2011155:0,2011155,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,310,Office,29577,2115880,2115880:0,2115880,,WITHDRAWN
5187 Horry Dr.,40A Murrells Inlet - Georgetown County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,325,Office,29576,1314597,1314597:0,1314597,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,325,Office,29577,1817462,1817462:0,1817462,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,325,Office,29577,2014783,2014783:0,2014783,,WITHDRAWN
5187 Horry Dr.,40A Murrells Inlet - Georgetown County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,335,Office,29576,1614350,1614350:0,1614350,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,335,Office,29577,2205927,2205927:0,2205927,,WITHDRAWN
11661 Highway 707,26A Myrtle Beach Area--south of 544 & west of 17 bypass M.I. Horry County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29576,1601764,1601764:0,1601764,,WITHDRAWN
3015 Drywall Dr.,19A Myrtle Beach Area--Socastee,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29577,1505419,1505419:0,1505419,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29577,2115877,2115877:0,2115877,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29577,2002585,2002585:0,2002585,,WITHDRAWN
1720 Mill Pond Rd.,21A Conway central between 501 & 701 / north of 501,Conway,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29526,1101233,1101233:0,1101233,,WITHDRAWN
1603 Hwy 17 S,11C North Myrtle Beach Area--Crescent Beach,North Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29582,2213102,2213102:0,2213102,,WITHDRAWN
1012 NW 16th Ave. N,29A Surfside Beach--East of 17 & north of Surfside Drive,Surfside Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29575,2022845,2022845:0,2022845,,WITHDRAWN
2120 Sea Mountain Hwy.,11A North Myrtle Beach Area--Cherry Grove,North Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29582,1012512,1012512:0,1012512,,WITHDRAWN
289 Highway 90,04B Little River Area--North of Hwy 9,Little River,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,350,Office,29566,1414289,1414289:0,1414289,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,365,Office,29577,2214051,2214051:0,2214051,,WITHDRAWN
5187 Horry Dr.,40A Murrells Inlet - Georgetown County,Murrells Inlet,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,375,Office,29576,1618614,1618614:0,1618614,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,375,Office,29577,2118355,2118355:0,2118355,,WITHDRAWN
1012 NW 16th Ave.,28A Surfside Area--Surfside Triangle 544 to Glenns Bay,Surfside Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,375,Office,29575,2411638,2411638:0,2411638,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,380,Office,29577,2322923,2322923:0,2322923,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,385,Office,29577,2300044,2300044:0,2300044,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,385,Office,29577,2322924,2322924:0,2322924,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,385,Office,29577,2428332,2428332:0,2428332,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,385,Office,29577,2127868,2127868:0,2127868,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,390,Office,29577,2011148,2011148:0,2011148,,WITHDRAWN
2411 N Oak St.,16F Myrtle Beach Area--10th Ave N to 29th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,395,Office,29577,2005251,2005251:0,2005251,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,395,Office,29577,2602405,2602405:0,2602405,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,395,Office,29577,2219893,2219893:0,2219893,,WITHDRAWN
1297 Professional Dr.,16E Myrtle Beach Area--29th Ave N to 48th Ave N,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,395,Office,29577,2400701,2400701:0,2400701,,WITHDRAWN
4673 Dick Pond Rd.,26B Myrtle Beach Area--north of Bay Rd between Wacc. River & 707,Myrtle Beach,COMMERCIAL/INDUSTRIAL,,,,WITHDRAWN,400,Retail,29588,1607118,1607118:0,1607118,,WITHDRAWN
