address,city,state,zip,mls_number,price,category,class,type
225 Clam Digger Loop,Pawleys Island,SC,29585,2601360,509900,WITHDRAWN,RESIDENTIAL,Detached
228 W First St.,Ocean Isle Beach,SC,28469,2528622,1050000,WITHDRAWN,RESIDENTIAL,Detached
143 Stonewall Circle,Longs,SC,29568,2600523,295000,WITHDRAWN,CONDO/TOWNHOUSE,Condo
2152 Senator Gasque Hwy.,Marion,SC,29571,2517633,449000,WITHDRAWN,COMMERCIAL/INDUSTRIAL,Business
300 N Ocean Blvd.,North Myrtle Beach,SC,29582,2513778,289000,WITHDRAWN,CONDO/TOWNHOUSE,Condo
