Address,Area,City,Class,Keyword1,Keyword2,Keyword3,StatusDate,StatusID,SystemPrice,Type,Zip,_DisplayId,_ID,display_id,int2_3,Category
225 Clam Digger Loop,44A Pawleys Island  Mainland,Pawleys Island,RESIDENTIAL,3,2,0,4/6/2026,WITHDRAWN,509900,Detached,29585,2601360,2601360:0,2601360,$160,WITHDRAWN
228 W First St.,31B North Carolina,Ocean Isle Beach,RESIDENTIAL,4,2,0,4/6/2026,WITHDRAWN,1050000,Detached,28469,2528622,2528622:0,2528622,$0,WITHDRAWN
143 Stonewall Circle,03B Loris to Longs Area--North of 9 between Loris & Longs,Longs,CONDO/TOWNHOUSE,3,2,0,4/6/2026,WITHDRAWN,295000,Condo,29568,2600523,2600523:0,2600523,$600,WITHDRAWN
2152 Senator Gasque Hwy.,31A Other counties in South Carolina,Marion,COMMERCIAL/INDUSTRIAL,,,,4/6/2026,WITHDRAWN,449000,Business,29571,2517633,2517633:0,2517633,,WITHDRAWN
300 N Ocean Blvd.,11B North Myrtle Beach Area--Ocean Drive,North Myrtle Beach,CONDO/TOWNHOUSE,1,1,0,4/6/2026,WITHDRAWN,289000,Condo,29582,2513778,2513778:0,2513778,$933,WITHDRAWN
